,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
1,1,2010-06-30,25.790001,30.42,23.299999,23.83,17187100,23.83,2010-06-30,,,,,,,,,,,,
2,2,2010-07-01,25.0,25.92,20.27,21.959999,8218800,21.959999,2010-07-01,,,,,,,,,,,,
3,3,2010-07-02,23.0,23.1,18.709999,19.200001,5139800,19.200001,2010-07-02,,,,,,,,,,,,
4,4,2010-07-06,20.0,20.0,15.83,16.110001,6866900,16.110001,2010-07-06,,,,,,,,,,,,
5,5,2010-07-07,16.4,16.629998999999998,14.98,15.8,6921700,15.8,2010-07-07,,,,,,,,,,,,
6,6,2010-07-08,16.139999,17.52,15.57,17.459999,7711400,17.459999,2010-07-08,,,,,,,,,,,,
7,7,2010-07-09,17.58,17.9,16.549999,17.4,4050600,17.4,2010-07-09,19.456249875,18.999305458333335,22.061249875,21.136527680555556,17.84374975,17.556249583333333,20.363749999999996,19.745138888888885,red,,,
8,8,2010-07-12,17.950001,18.07,17.0,17.049999,2202500,17.049999,2010-07-12,18.601249875,18.566126245370373,21.194999875,20.455077084876542,17.776249625,17.432638564814816,20.232500125,19.346219358024687,red,,,
9,9,2010-07-13,17.389999,18.639999,16.9,18.139999,2680100,18.139999,2010-07-13,17.889999749999998,18.471431301954734,19.722499749999997,20.05172639934842,16.976249749999997,17.314274439300412,19.182499874999998,18.91150372290809,blue,,,
10,10,2010-07-14,17.940001000000006,20.15,17.76,19.84,4195200,19.84,2010-07-14,17.624999875,18.775557679298128,19.00124975,20.073564977270994,16.66249975,17.41332456390032,18.299999999999997,18.695614228928516,,True,,
11,11,2010-07-15,19.940001,21.5,19.0,19.889999,3739800,19.889999,2010-07-15,17.711249625,19.023211306120768,18.801249749999997,20.39055053787744,16.698749875000004,17.765919105255804,17.917500125,18.972144622499957,,True,,
12,12,2010-07-16,20.700001,21.299999,20.049999,20.639999,2621300,20.639999,2010-07-16,18.277499375,19.382497460316152,18.963749625,20.5926501961269,17.22624975,18.27349241519896,18.005000250000002,19.356112706388856,green,,,
13,13,2010-07-19,21.370001,22.25,20.92,21.91,2486500,21.91,2010-07-19,19.041249375,19.944164691357006,19.66624975,20.960950152543145,17.96874975,18.861605211821413,18.626250375,19.803643438302444,green,,,
