,date,low,high,open,close,volume
0,2017-01-16,3.84,3.93,3.922,3.85489048,12244.42517218
1,2017-01-17,3.85,4.04,3.8887167,3.92509942,44586.76491271999
2,2017-01-18,3.8,3.96,3.92509942,3.87906515,29583.20184563
3,2017-01-19,3.81458956,3.94599534,3.87906515,3.89806225,10657.138834870002
4,2017-01-20,3.85,3.93549999,3.89886232,3.881,9820.84513541
5,2017-01-21,3.87600001,3.97744246,3.88715329,3.92213035,11737.35647119
6,2017-01-22,3.82100001,3.924,3.90647924,3.844,12808.09433656
7,2017-01-23,3.80020414,3.87633062,3.85684013,3.82040456,27152.911110959998
8,2017-01-24,3.7300017,3.85,3.82110698,3.73430868,25779.530109080002
9,2017-01-25,3.66,3.77364735,3.75032636,3.67753432,10058.771619090001
10,2017-01-26,3.65281335,3.87,3.68535907,3.85708174,33468.75935219
11,2017-01-27,3.77393917,3.92,3.83138311,3.88663555,24197.25807224
12,2017-01-28,3.818,3.92780688,3.85016881,3.85,15068.934420810001
13,2017-01-29,3.80000001,3.90999995,3.85,3.86733807,22634.89029257
14,2017-01-30,3.85060201,4.1061971,3.85060201,4.06907417,53957.18696154
15,2017-01-31,3.98000001,4.29999997,4.06907417,4.07756892,66935.56392971
16,2017-02-01,3.98538266,4.07757082,4.04956915,4.02255605,8187.550929790001
17,2017-02-02,3.95193722,4.09999998,4.03628099,4.07049064,28685.30669124
18,2017-02-03,3.924,4.10412955,4.07049057,4.0132448,20731.734743679997
19,2017-02-04,3.94,4.05,4.0132448,4.00102014,25691.268012930002
20,2017-02-05,3.88665717,4.0,3.9994111,3.94000004,21291.50514364
21,2017-02-06,3.924,3.98231379,3.9450704,3.93,15339.355065290001
22,2017-02-07,3.874,4.0,3.95990868,3.95000002,25161.609194919998
23,2017-02-08,3.85,4.02799999,3.97,3.97088677,39587.66062820001
24,2017-02-09,3.58000002,3.98699838,3.94410265,3.75399999,66840.38062172
25,2017-02-10,3.63300001,3.822,3.73586561,3.81275772,35217.25515475
26,2017-02-11,3.77000011,3.8265,3.79733261,3.8,6536.45986771
27,2017-02-12,3.74026807,3.80156768,3.8,3.74026807,2820.4387420800003
28,2017-02-13,3.70000031,3.78612644,3.75125978,3.77993309,17738.03775156
29,2017-02-14,3.68901074,3.8469983,3.75858826,3.84328175,20868.127695389998
30,2017-02-15,3.78900108,3.91,3.82406534,3.88899999,15700.04226227
31,2017-02-16,3.85499998,3.92,3.87433982,3.87087189,16617.685399820002
32,2017-02-17,3.84261429,3.92,3.87353461,3.89772654,17475.11071971
33,2017-02-18,3.78397942,3.922,3.90858313,3.82276769,14842.32235916
34,2017-02-19,3.76000001,3.84173819,3.82276769,3.80465069,22982.0296965
35,2017-02-20,3.76,3.83598675,3.78562743,3.79235434,7104.98639566
36,2017-02-21,3.78000001,3.883,3.79235434,3.86599989,22567.48222126
37,2017-02-22,3.83180611,3.92,3.85017443,3.88483683,17001.48626594
38,2017-02-23,3.86400001,3.9999,3.89190185,3.899,23563.81554922
39,2017-02-24,3.81386113,3.985,3.91985964,3.97299834,32701.335861760002
40,2017-02-25,3.86,3.973,3.95313334,3.88663594,4440.5796947
41,2017-02-26,3.83003675,3.93599991,3.89860837,3.87,7312.93947725
42,2017-02-27,3.81400001,3.9,3.87052158,3.837378,30063.336561340002
43,2017-02-28,3.77999999,3.87867495,3.837378,3.77999999,8850.48355238
44,2017-03-01,3.77651107,3.925,3.77999999,3.859,32959.30196039
45,2017-03-02,3.824,4.4444,3.86998756,4.02699999,152162.75916524
46,2017-03-03,4.0,4.15,4.03099813,4.09799998,96561.49218466
47,2017-03-04,3.94,4.1095439,4.06927685,3.99581862,45177.30073222
48,2017-03-05,3.94940942,4.05177801,3.985,4.01,19820.19480142
49,2017-03-06,3.97784806,4.1,3.99247203,4.09000001,17202.53041476
50,2017-03-07,3.9,4.1,4.09999637,3.97141725,31155.988516699996
51,2017-03-08,3.82,4.0,3.97085128,3.85005199,21478.47597985
52,2017-03-09,3.82900001,3.93999999,3.85288901,3.89898396,23694.959789819997
53,2017-03-10,3.55,4.078,3.90292254,3.77378777,127328.09753259999
54,2017-03-11,3.75600092,3.88599466,3.7962868,3.81999999,21722.87460553
55,2017-03-12,3.779001,3.91,3.78824329,3.90193043,24264.96127151
56,2017-03-13,3.8,4.8,3.89831577,4.359,342882.35709052003
57,2017-03-14,4.10800001,4.38771061,4.33200002,4.20999903,166190.85522106
58,2017-03-15,4.09,4.38,4.20999903,4.31152516,79624.24384526
59,2017-03-16,4.07,4.888,4.32541744,4.29000001,204422.37619249
60,2017-03-17,3.9354,4.33139795,4.30324237,4.10296819,179069.51354008997
61,2017-03-18,3.755,4.3278559,4.12731238,3.97000001,195334.84119573
62,2017-03-19,3.851111,4.12,3.98848946,3.9,91936.8416977
63,2017-03-20,3.815,4.07007538,3.91000004,4.07007535,86339.5469195
64,2017-03-21,3.95,4.13027429,4.06,4.00700328,75888.39909452
65,2017-03-22,3.83057,4.02236751,4.00700328,3.93583951,170353.66862988
66,2017-03-23,3.89700004,4.03827999,3.93583952,3.99976509,125767.5009702
67,2017-03-24,3.935,4.309,4.01501183,4.1789998,237497.29259371
68,2017-03-25,3.95348524,4.222,4.17899938,4.05800835,146997.74691401
69,2017-03-26,4.0,4.131,4.1241458,4.09509868,87860.11470582
70,2017-03-27,4.03801054,4.19989994,4.07474649,4.06381521,126010.44489586
71,2017-03-28,4.04018256,4.21947243,4.07032576,4.18237718,66120.13004459001
72,2017-03-29,4.12993366,4.35,4.20899981,4.31145296,113501.12105658
73,2017-03-30,4.26752504,8.3,4.31145296,7.86,3557067.46505534
74,2017-03-31,5.901,8.0,7.86,7.22138605,2017944.0966281598
75,2017-04-01,6.60565634,7.76712272,7.13560051,7.55095,943615.5683509699
76,2017-04-02,7.14,8.68,7.60000798,8.34989954,2098557.6958278404
77,2017-04-03,7.5,9.61000004,8.34989918,8.5935,2002899.7458135802
78,2017-04-04,8.16193735,9.50926611,8.5600003,9.13999916,2063447.2098464102
79,2017-04-05,8.810005,13.0,9.13999916,12.39999998,5523121.03683721
80,2017-04-06,9.9,12.59999999,12.4,10.88,6472077.44950717
81,2017-04-07,9.46,11.3,10.8300002,10.04999879,2677280.5421820097
82,2017-04-08,9.92648074,11.31999987,10.0499988,10.80199892,1044808.2120066299
83,2017-04-09,8.951,11.05000164,10.80199892,9.32999999,3514656.7211809503
84,2017-04-10,9.002,10.2,9.3,9.91000224,1281751.08400112
85,2017-04-11,9.53,10.41,9.90000001,9.7432,1598697.7544834102
86,2017-04-12,9.73800055,12.39,9.73800055,11.87100187,4398827.62148844
87,2017-04-13,10.76998352,11.93499982,11.82985683,11.2,1576821.41779818
88,2017-04-14,11.118149,12.27500021,11.21999988,11.99989999,1732307.48515409
89,2017-04-15,11.33450001,12.5,11.99989999,11.81001011,1400586.18794863
90,2017-04-16,11.65,12.10699994,11.81001011,12.06,629659.3456280901
91,2017-04-17,11.43000003,13.1,12.06497325,11.65,2652808.58093364
92,2017-04-18,11.0,11.979,11.72879996,11.5499995,3333361.24911422
93,2017-04-19,10.535,11.59,11.5499995,10.68,1635879.97335569
94,2017-04-20,10.52099994,11.9,10.65,11.57351626,2196463.18587825
95,2017-04-21,11.43100001,13.66220267,11.57351626,12.90509999,3230199.63853542
96,2017-04-22,12.70000002,15.4997,12.89599913,15.49969998,4845445.05754281
